Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,☆ 𝑲𝒂𝒄𝒉𝒊 🎀✨| 𝐒𝐨𝐜𝐢𝐚𝐥 𝐌𝐞𝐝𝐢𝐚,https://t.co/v4WBMxeC7X,theekachi,Wherever the money is at,Fri Sep 25 18:10:12 +0000 2020,5104,2465,1048,60904,"NYSC it’s overrr!
Long story short, I survived 😭
Everybody say Congratulations to me🥹🥳 https://t.co/IdMiQCwONM",Thu Mar 27 14:59:03 +0000 2025,232,3144,en,79636,False,False,23,330,,[],False,79636,232,False,True,1048,60904,"[{'display_url': 'pic.x.com/IdMiQCwONM', 'expanded_url': 'https://x.com/theekachi/status/1905273367885730200/photo/1', 'id_str': '1905273333651832833', 'indices': [87, 110], 'media_key': '3_1905273333651832833', 'media_url_https': 'https://pbs.twimg.com/media/GnDkAJxXgAEZ1Rn.jpg', 'type': 'photo', 'url': 'https://t.co/IdMiQCwONM', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 2048, 'w': 1536, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 900, 'resize': 'fit'}, 'small': {'h': 680, 'w': 510, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 2048, 'width': 1536, 'focus_rects': [{'x': 0, 'y': 338, 'w': 1536, 'h': 860}, {'x': 0, 'y': 0, 'w': 1536, 'h': 1536}, {'x': 0, 'y': 0, 'w': 1536, 'h': 1751}, {'x': 256, 'y': 0, 'w': 1024, 'h': 2048}, {'x': 0, 'y': 0, 'w': 1536, 'h': 2048}]}, 'media_results': {'result': {'media_key': '3_1905273333651832833'}}}, {'display_url': 'pic.x.com/IdMiQCwONM', 'expanded_url': 'https://x.com/theekachi/status/1905273367885730200/photo/1', 'id_str': '1905273333647626240', 'indices': [87, 110], 'media_key': '3_1905273333647626240', 'media_url_https': 'https://pbs.twimg.com/media/GnDkAJwXUAAipPH.jpg', 'type': 'photo', 'url': 'https://t.co/IdMiQCwONM', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 484, 'y': 908, 'h': 368, 'w': 368}]}, 'medium': {'faces': [{'x': 283, 'y': 532, 'h': 215, 'w': 215}]}, 'small': {'faces': [{'x': 160, 'y': 301, 'h': 122, 'w': 122}]}, 'orig': {'faces': [{'x': 484, 'y': 908, 'h': 368, 'w': 368}]}}, 'sizes': {'large': {'h': 2048, 'w': 1536, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 900, 'resize': 'fit'}, 'small': {'h': 680, 'w': 510, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 2048, 'width': 1536, 'focus_rects': [{'x': 0, 'y': 645, 'w': 1536, 'h': 860}, {'x': 0, 'y': 307, 'w': 1536, 'h': 1536}, {'x': 0, 'y': 200, 'w': 1536, 'h': 1751}, {'x': 153, 'y': 0, 'w': 1024, 'h': 2048}, {'x': 0, 'y': 0, 'w': 1536, 'h': 2048}]}, 'media_results': {'result': {'media_key': '3_1905273333647626240'}}}]","NYSC it’s overrr!
Long story short, I survived 😭
Everybody say Congratulations to me🥹🥳 https://t.co/IdMiQCwONM"
2,Omologe🧡,,Simbiat_Amzat,"Abuja, Nigeria",Tue Jan 23 18:15:10 +0000 2018,933,1269,121,5049,"...and with that, the #NYSC szn comes to an end. Alhamdulillah 🥺 https://t.co/KS2G9amnLm",Thu Mar 27 13:02:45 +0000 2025,31,346,en,16820,False,False,6,45,,['NYSC'],False,16820,31,False,True,121,5049,"[{'display_url': 'pic.x.com/KS2G9amnLm', 'expanded_url': 'https://x.com/Simbiat_Amzat/status/1905244099134767223/photo/1', 'id_str': '1905244093787090945', 'indices': [65, 88], 'media_key': '3_1905244093787090945', 'media_url_https': 'https://pbs.twimg.com/media/GnDJaKyXMAEZw5W.jpg', 'type': 'photo', 'url': 'https://t.co/KS2G9amnLm', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 354, 'y': 277, 'h': 80, 'w': 80}]}, 'medium': {'faces': [{'x': 354, 'y': 277, 'h': 80, 'w': 80}]}, 'small': {'faces': [{'x': 235, 'y': 183, 'h': 53, 'w': 53}]}, 'orig': {'faces': [{'x': 354, 'y': 277, 'h': 80, 'w': 80}]}}, 'sizes': {'large': {'h': 1024, 'w': 768, 'resize': 'fit'}, 'medium': {'h': 1024, 'w': 768, 'resize': 'fit'}, 'small': {'h': 680, 'w': 510, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1024, 'width': 768, 'focus_rects': [{'x': 0, 'y': 527, 'w': 768, 'h': 430}, {'x': 0, 'y': 256, 'w': 768, 'h': 768}, {'x': 0, 'y': 148, 'w': 768, 'h': 876}, {'x': 230, 'y': 0, 'w': 512, 'h': 1024}, {'x': 0, 'y': 0, 'w': 768, 'h': 1024}]}, 'media_results': {'result': {'media_key': '3_1905244093787090945'}}}, {'display_url': 'pic.x.com/KS2G9amnLm', 'expanded_url': 'https://x.com/Simbiat_Amzat/status/1905244099134767223/photo/1', 'id_str': '1905244093006934016', 'indices': [65, 88], 'media_key': '3_1905244093006934016', 'media_url_https': 'https://pbs.twimg.com/media/GnDJaH4W8AAYpbp.jpg', 'type': 'photo', 'url': 'https://t.co/KS2G9amnLm', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 335, 'y': 334, 'h': 141, 'w': 141}, {'x': 303, 'y': 538, 'h': 161, 'w': 161}, {'x': 233, 'y': 529, 'h': 202, 'w': 202}]}, 'medium': {'faces': [{'x': 335, 'y': 334, 'h': 141, 'w': 141}, {'x': 303, 'y': 538, 'h': 161, 'w': 161}, {'x': 233, 'y': 529, 'h': 202, 'w': 202}]}, 'small': {'faces': [{'x': 222, 'y': 221, 'h': 93, 'w': 93}, {'x': 201, 'y': 357, 'h': 106, 'w': 106}, {'x': 154, 'y': 351, 'h': 134, 'w': 134}]}, 'orig': {'faces': [{'x': 335, 'y': 334, 'h': 141, 'w': 141}, {'x': 303, 'y': 538, 'h': 161, 'w': 161}, {'x': 233, 'y': 529, 'h': 202, 'w': 202}]}}, 'sizes': {'large': {'h': 1024, 'w': 768, 'resize': 'fit'}, 'medium': {'h': 1024, 'w': 768, 'resize': 'fit'}, 'small': {'h': 680, 'w': 510, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1024, 'width': 768, 'focus_rects': [{'x': 0, 'y': 220, 'w': 768, 'h': 430}, {'x': 0, 'y': 51, 'w': 768, 'h': 768}, {'x': 0, 'y': 0, 'w': 768, 'h': 876}, {'x': 128, 'y': 0, 'w': 512, 'h': 1024}, {'x': 0, 'y': 0, 'w': 768, 'h': 1024}]}, 'media_results': {'result': {'media_key': '3_1905244093006934016'}}}, {'display_url': 'pic.x.com/KS2G9amnLm', 'expanded_url': 'https://x.com/Simbiat_Amzat/status/1905244099134767223/photo/1', 'id_str': '1905244092730122240', 'indices': [65, 88], 'media_key': '3_1905244092730122240', 'media_url_https': 'https://pbs.twimg.com/media/GnDJaG2XIAA3OUQ.jpg', 'type': 'photo', 'url': 'https://t.co/KS2G9amnLm', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 508, 'y': 211, 'h': 248, 'w': 248}]}, 'medium': {'faces': [{'x': 508, 'y': 211, 'h': 248, 'w': 248}]}, 'small': {'faces': [{'x': 295, 'y': 122, 'h': 144, 'w': 144}]}, 'orig': {'faces': [{'x': 508, 'y': 211, 'h': 248, 'w': 248}]}}, 'sizes': {'large': {'h': 880, 'w': 1169, 'resize': 'fit'}, 'medium': {'h': 880, 'w': 1169, 'resize': 'fit'}, 'small': {'h': 512, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 880, 'width': 1169, 'focus_rects': [{'x': 0, 'y': 52, 'w': 1169, 'h': 655}, {'x': 231, 'y': 0, 'w': 880, 'h': 880}, {'x': 285, 'y': 0, 'w': 772, 'h': 880}, {'x': 451, 'y': 0, 'w': 440, 'h': 880}, {'x': 0, 'y': 0, 'w': 1169, 'h': 880}]}, 'media_results': {'result': {'media_key': '3_1905244092730122240'}}}]","...and with that, the #NYSC szn comes to an end. Alhamdulillah 🥺 https://t.co/KS2G9amnLm"
3,Amaechi,,iamMaychee,,Thu Jul 07 21:20:37 +0000 2011,1982,1579,493,66009,Should NYSC be scrapped or not ?? https://t.co/wkirLsnTXL,Thu Mar 20 16:30:37 +0000 2025,0,2,en,56,False,False,0,0,,[],False,56,0,False,False,493,66009,"[{'display_url': 'pic.x.com/wkirLsnTXL', 'expanded_url': 'https://x.com/iamMaychee/status/1902759696320053263/video/1', 'id_str': '1902759576589701121', 'indices': [34, 57], 'media_key': '13_1902759576589701121', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1902759576589701121/img/7dE0neErLX5cucfQ.jpg', 'type': 'video', 'url': 'https://t.co/wkirLsnTXL', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 450, 'w': 828, 'resize': 'fit'}, 'medium': {'h': 450, 'w': 828, 'resize': 'fit'}, 'small': {'h': 370, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 450, 'width': 828, 'focus_rects': []}, 'allow_download_status': {'allow_download': True}, 'video_info': {'aspect_ratio': [46, 25], 'duration_millis': 21681, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1902759576589701121/pl/7BW9X4tJxMANpZ1y.m3u8?tag=14'}, {'bitrate': 288000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1902759576589701121/vid/avc1/496x270/MQlxoH-cjVGxJ1EZ.mp4?tag=14'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1902759576589701121/vid/avc1/828x450/x1c-WDCuJ3tVQrcU.mp4?tag=14'}]}, 'media_results': {'result': {'media_key': '13_1902759576589701121'}}}]",Should NYSC be scrapped or not ?? https://t.co/wkirLsnTXL
4,4Fun,https://t.co/3TK9HpwwHm,4funcomedian,Nigeria,Mon Oct 31 10:31:57 +0000 2016,26635,113,738,2305,Should NYSC even be scrapped? Looks like the purpose of establishing the program no longer hold… #30daysrantchallenge https://t.co/jZRNrJD9Xy,Tue Mar 18 10:11:45 +0000 2025,52,151,en,2749,True,False,3,5,,['30daysrantchallenge'],False,2749,52,False,True,738,2305,"[{'display_url': 'pic.x.com/jZRNrJD9Xy', 'expanded_url': 'https://x.com/4funcomedian/status/1901939575410307547/video/1', 'id_str': '1901938824097189888', 'indices': [118, 141], 'media_key': '13_1901938824097189888', 'media_url_https': 'https://pbs.twimg.com/amplify_video_thumb/1901938824097189888/img/mNNXKw_dfKfbraiL.jpg', 'type': 'video', 'url': 'https://t.co/jZRNrJD9Xy', 'additional_media_info': {'monetizable': False}, 'ext_media_availability': {'status': 'Available'}, 'sizes': {'large': {'h': 1920, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 675, 'resize': 'fit'}, 'small': {'h': 680, 'w': 383, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1920, 'width': 1080, 'focus_rects': []}, 'allow_download_status': {'allow_download': True}, 'video_info': {'aspect_ratio': [9, 16], 'duration_millis': 250241, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/amplify_video/1901938824097189888/pl/SEgmwgmDtCmWM9Ug.m3u8?tag=16&v=c85'}, {'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1901938824097189888/vid/avc1/320x568/t2gpQX6w4PJlHcwe.mp4?tag=16'}, {'bitrate': 950000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1901938824097189888/vid/avc1/480x852/XTRhu5E9X3jkJy7K.mp4?tag=16'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1901938824097189888/vid/avc1/720x1280/T0HeQJT2iXoYC8bn.mp4?tag=16'}, {'bitrate': 10368000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/amplify_video/1901938824097189888/vid/avc1/1080x1920/G8M0Su2P44oTWzBQ.mp4?tag=16'}]}, 'media_results': {'result': {'media_key': '13_1901938824097189888'}}}]",Should NYSC even be scrapped? Looks like the purpose of establishing the program no longer hold… #30daysrantchallenge https://t.co/jZRNrJD9Xy
5,#OurFavOnlineDoc 🩺 🇬🇧,,OurFavOnlineDoc,"England, United Kingdom",Sat Apr 14 14:39:11 +0000 2012,469613,22505,7065,229673,"It’s time to also look into either totally scrapping the nysc entirely or radically reforming it as a whole.

If we are being honest,
The nysc is largely a behemoth corrupt organisation that is used to steal money and divert funds while recklessly putting the lives of millions of",Sun Mar 16 14:33:33 +0000 2025,113,299,en,16065,True,False,4,28,,[],,16065,113,False,True,7065,229673,,"It’s time to also look into either totally scrapping the nysc entirely or radically reforming it as a whole.

If we are being honest,
The nysc is largely a behemoth corrupt organisation that is used to steal money and divert funds while recklessly putting the lives of millions of young people at risk, sending them in many cases to dangerous terror-infested death holes."
6,Uppy,,uppydboss,Paradise ,Mon Mar 16 20:10:57 +0000 2020,754,615,1022,20875,"NYSC what is the meaning of this posting. Are you insane?????!!!!!
See me I am not going for this rubbish. What kind rubbish is this
Scrap this NYSC rubbish. 
Me I am not going anywhere oh what rubbish is this",Mon Apr 21 05:37:42 +0000 2025,0,0,en,151,False,False,0,2,,[],,151,0,False,False,1022,20875,,"NYSC what is the meaning of this posting. Are you insane?????!!!!!
See me I am not going for this rubbish. What kind rubbish is this
Scrap this NYSC rubbish. 
Me I am not going anywhere oh what rubbish is this"
7,SEKEMI🍁,,_mowati,Life ,Mon Jun 03 12:15:39 +0000 2019,6127,4321,484,71387,My unpopular opinion is that Nysc is not yet scrapped because it’s another avenue for looting and siphoning funds. Nobody really cares about giving experience to fresh graduates or ‘making us know our country’ or all that BS.,Tue Jan 30 09:33:02 +0000 2024,791,1914,en,118510,False,False,44,36,,[],,118510,791,False,True,484,71387,,My unpopular opinion is that Nysc is not yet scrapped because it’s another avenue for looting and siphoning funds. Nobody really cares about giving experience to fresh graduates or ‘making us know our country’ or all that BS.
8,Beta Cuntri,,betacuntri,Abuja,Thu Jul 12 09:14:28 +0000 2012,751,18,1810,10502,"The NYSC Sheme Should be Scrapped. The essence of the NYSC scheme was to unite Nigerians post civil war, but the country has never been more divided more than 5 decades after. What then is the use? https://t.co/ZHxWQ4Rdgq",Sat Apr 05 06:33:18 +0000 2025,0,0,en,25,True,False,0,0,,[],False,25,0,False,False,1810,10502,"[{'display_url': 'pic.x.com/ZHxWQ4Rdgq', 'expanded_url': 'https://x.com/betacuntri/status/1908407582537949244/photo/1', 'id_str': '1908407579543293952', 'indices': [198, 221], 'media_key': '3_1908407579543293952', 'media_url_https': 'https://pbs.twimg.com/media/GnwGlRlXUAAuq-V.jpg', 'type': 'photo', 'url': 'https://t.co/ZHxWQ4Rdgq', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 545, 'w': 720, 'resize': 'fit'}, 'medium': {'h': 545, 'w': 720, 'resize': 'fit'}, 'small': {'h': 515, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 545, 'width': 720, 'focus_rects': [{'x': 0, 'y': 0, 'w': 720, 'h': 403}, {'x': 0, 'y': 0, 'w': 545, 'h': 545}, {'x': 0, 'y': 0, 'w': 478, 'h': 545}, {'x': 62, 'y': 0, 'w': 273, 'h': 545}, {'x': 0, 'y': 0, 'w': 720, 'h': 545}]}, 'media_results': {'result': {'media_key': '3_1908407579543293952'}}}]","The NYSC Sheme Should be Scrapped. The essence of the NYSC scheme was to unite Nigerians post civil war, but the country has never been more divided more than 5 decades after. What then is the use? https://t.co/ZHxWQ4Rdgq"
9,Mibanti,https://t.co/7KVBMH6Tb4,RealMibanti,OɴʟɪɴᴇPʀ | Dᴍ ғᴏʀ Aᴅᴠᴇʀᴛ/Pʀᴏᴍᴏ,Sun Oct 26 10:21:19 +0000 2014,28512,2488,1489,199349,NYSC has outlived its purpose and should be scrapped!,Tue Mar 18 08:53:28 +0000 2025,25,42,en,3161,True,False,0,11,,[],,3161,25,False,True,1489,199349,,NYSC has outlived its purpose and should be scrapped!
10,Multiverse 1.5✨,,redgreenflag_,Nigeria,Fri Jan 31 14:34:09 +0000 2025,1,6,3,14,"NYSC should be scrapped out for good.

#30daysrantchallenge",Mon Mar 17 12:41:38 +0000 2025,0,0,en,42,False,False,0,0,,['30daysrantchallenge'],,42,0,False,False,3,14,,"NYSC should be scrapped out for good.

#30daysrantchallenge"
