Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,Priscilla,,bossy_mop,,Tue May 17 11:20:00 +0000 2022,849,1136,296,1702,"Both senior and Junior ex corpers never see allowee o😭😭...
Access bank please na https://t.co/AdOTAUp5r4",Mon Jul 28 15:29:10 +0000 2025,12,141,en,7819,False,False,2,22,,[],False,7819,12,False,False,296,1702,[<Photo id=1949854645846753281>],"Both senior and Junior ex corpers never see allowee o😭😭...
Access bank please na https://t.co/AdOTAUp5r4"
2,DL Corpers Plateau,,DLKopaPlateau,,Fri Jan 26 05:57:44 +0000 2024,38,7,157,300,"Mondays are for affirming God's words into our lives.😌❤️

Have a good week, friends.🤗 https://t.co/QhpTBaiMQj",Mon Jul 28 06:02:53 +0000 2025,3,5,en,67,False,False,0,0,,[],False,67,3,False,False,157,300,[<Photo id=1949712125070356480>],"Mondays are for affirming God's words into our lives.😌❤️

Have a good week, friends.🤗 https://t.co/QhpTBaiMQj"
3,@mrajiabdulwasiu,https://t.co/c4a9cT9pA3,mrajiabdulwasiu,"Paris, France",Tue Jul 06 03:32:51 +0000 2021,2453,3875,333,2529,"Multiple job opportunities in Lagos, Nigeria for graduates, and youth Corpers.

Submit your application here : https://t.co/IE9IA6c6iV https://t.co/NLNypb83ev",Sun Jul 27 18:36:35 +0000 2025,2,3,en,287,True,False,0,0,,[],False,287,2,False,True,333,2529,[<Photo id=1949539421008617472>],"Multiple job opportunities in Lagos, Nigeria for graduates, and youth Corpers.

Submit your application here : https://t.co/IE9IA6c6iV https://t.co/NLNypb83ev"
4,Deeper Life Corpers Fellowship Gombe,https://t.co/6ULVkGbhGU,dlcfcorpergombe,"Gombe, Nigeria",Sun May 28 16:58:32 +0000 2023,106,23,957,1618,"Pictures from today's Global Sunday Worship Service. 
#DLCF
#sundayworshipservicewithkumuyi
#worshipservice
#GCK
#DLconversations https://t.co/bfLyMwrpWI",Sun Jul 27 17:51:33 +0000 2025,4,16,en,272,False,False,0,2,,"['DLCF', 'sundayworshipservicewithkumuyi', 'worshipservice', 'GCK', 'DLconversations']",False,272,4,False,False,957,1618,"[<Photo id=1949528071503007744>, <Photo id=1949528053085806592>, <Photo id=1949528071251300352>, <Photo id=1949528084828364800>]","Pictures from today's Global Sunday Worship Service. 
#DLCF
#sundayworshipservicewithkumuyi
#worshipservice
#GCK
#DLconversations https://t.co/bfLyMwrpWI"
5,Deeper Life Corpers Fellowship Gombe,https://t.co/6ULVkGbhGU,dlcfcorpergombe,"Gombe, Nigeria",Sun May 28 16:58:32 +0000 2023,106,23,957,1618,"Excerpts from tonight's (Day 4 of #GCKwithkumuyi) #GlobalCrusadewithKumuyi. 
#DLCF
#GCK
#DLconversations https://t.co/LVyw9Q7lg5",Sun Jul 27 19:00:47 +0000 2025,5,15,en,206,False,False,0,0,"<Place id=""01de9ba25276e740"" name=""Gombe"">","['GCKwithkumuyi', 'GlobalCrusadewithKumuyi', 'DLCF', 'GCK', 'DLconversations']",False,206,5,False,False,957,1618,"[<Photo id=1949545511834284032>, <Photo id=1949545511884673024>, <Photo id=1949545509196021760>, <Photo id=1949545518071234560>]","Excerpts from tonight's (Day 4 of #GCKwithkumuyi) #GlobalCrusadewithKumuyi. 
#DLCF
#GCK
#DLconversations https://t.co/LVyw9Q7lg5"
6,Ife mi🎀💚🩺,,Ife_meee,Lekki,Tue Apr 16 14:32:06 +0000 2019,1001,1133,157,8822,Wetin corpers never do😹 https://t.co/IjpgbUJSkD,Wed Jul 23 16:33:27 +0000 2025,1,4,en,66,False,False,0,1,,[],False,66,1,False,False,157,8822,[<Video id=1948058720082042886>],Wetin corpers never do😹 https://t.co/IjpgbUJSkD
7,Deeper Life Corpers Fellowship Gombe,https://t.co/6ULVkGbhGU,dlcfcorpergombe,"Gombe, Nigeria",Sun May 28 16:58:32 +0000 2023,106,23,957,1618,"#DLCF 
#DLconversations 
#Faith https://t.co/22mxfaw2Ze",Tue Jul 22 02:34:51 +0000 2025,4,8,qme,78,False,False,0,0,"<Place id=""01de9ba25276e740"" name=""Gombe"">","['DLCF', 'DLconversations', 'Faith']",False,78,4,False,False,957,1618,[<Photo id=1947485453940137984>],"#DLCF 
#DLconversations 
#Faith https://t.co/22mxfaw2Ze"
8,Punch Newspapers,https://t.co/JwPtwCGMPv,MobilePunch,"Lagos, Nigeria",Sat Mar 14 00:27:10 +0000 2009,7049887,1937,119373,733712,"𝐂𝐨𝐮𝐫𝐭 𝐨𝐯𝐞𝐫𝐭𝐮𝐫𝐧𝐬 𝐍𝐘𝐒𝐂 𝐬𝐤𝐢𝐫𝐭 𝐛𝐚𝐧 𝐟𝐨𝐫 𝐜𝐨𝐫𝐩𝐞𝐫𝐬

https://t.co/rP8i7XiOZU https://t.co/IuurZyS5qq",Mon Jul 28 00:24:00 +0000 2025,6,17,en,12077,True,False,0,7,,[],False,12077,6,False,False,119373,733712,[<Photo id=1949626777048903680>],"𝐂𝐨𝐮𝐫𝐭 𝐨𝐯𝐞𝐫𝐭𝐮𝐫𝐧𝐬 𝐍𝐘𝐒𝐂 𝐬𝐤𝐢𝐫𝐭 𝐛𝐚𝐧 𝐟𝐨𝐫 𝐜𝐨𝐫𝐩𝐞𝐫𝐬

https://t.co/rP8i7XiOZU https://t.co/IuurZyS5qq"
9,Deeper Life Corpers Fellowship Gombe,https://t.co/6ULVkGbhGU,dlcfcorpergombe,"Gombe, Nigeria",Sun May 28 16:58:32 +0000 2023,106,23,957,1618,https://t.co/uI0asn3sxE,Sun Jul 27 17:58:30 +0000 2025,1,12,zxx,126,False,False,0,1,"<Place id=""01de9ba25276e740"" name=""Gombe"">",[],False,126,1,False,False,957,1618,"[<Photo id=1949529803297550336>, <Photo id=1949529844473040896>, <Photo id=1949529773106941952>, <Photo id=1949529800827101184>]",https://t.co/uI0asn3sxE
10,Deeper Life Corpers Fellowship Gombe,https://t.co/6ULVkGbhGU,dlcfcorpergombe,"Gombe, Nigeria",Sun May 28 16:58:32 +0000 2023,106,23,957,1618,#DLCF https://t.co/SfW0MnLg59,Mon Jul 21 00:11:23 +0000 2025,5,15,qme,183,False,False,0,0,"<Place id=""01de9ba25276e740"" name=""Gombe"">",['DLCF'],False,183,5,False,False,957,1618,[<Photo id=1947086961061093377>],#DLCF https://t.co/SfW0MnLg59
