Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,𝔸b𝕒𝕫𝕫,https://t.co/ndqTrpXu8Z,abazwhyllzz,,Wed Jan 26 18:43:42 +0000 2022,307050,4150,14208,596062,"“NYSC posted me to Borono state”

Kidnappers: https://t.co/i3UrRkdhmz",Tue Jun 24 16:41:41 +0000 2025,587,6037,en,176789,True,False,42,338,,[],False,176789,587,False,True,14208,596062,[<Photo id=1937551710353752064>],"“NYSC posted me to Borono state”

Kidnappers: https://t.co/i3UrRkdhmz"
2,Wu Tang is for the Children,,WUTangKids,"Manhattan, NY",Wed Feb 10 19:15:24 +0000 2021,269749,1655,12874,50860,Masked ICE Nazis kidnap a Peruvian after immigration court in NYC….you can hear NYC Public Advocate @JumaaneWilliams tell them that the judge gave him another court date but the Nazis kidnapped him anyway…..insanity….where’s the due process https://t.co/8EIBWbJe67,Thu Jul 24 02:49:34 +0000 2025,3417,7555,en,442562,True,False,206,759,,[],False,442562,3417,False,False,12874,50860,[<Video id=1948086815119888385>],Masked ICE Nazis kidnap a Peruvian after immigration court in NYC….you can hear NYC Public Advocate @JumaaneWilliams tell them that the judge gave him another court date but the Nazis kidnapped him anyway…..insanity….where’s the due process https://t.co/8EIBWbJe67
3,Secretary Kristi Noem,https://t.co/rPMQtxzF2i,Sec_Noem,"Washington, D.C.",Sat Jan 25 22:41:14 +0000 2025,644948,12,325,496,"Just now.

Enforcement operation in NYC. Criminal alien with kidnapping, assault &amp; burglary charges is now in custody - thanks to @ICE.

Dirtbags like this will continue to be removed from our streets. https://t.co/fRpJBdmqSl",Tue Jan 28 11:13:40 +0000 2025,11688,78246,en,1956811,True,False,662,2639,,[],False,1956811,11688,False,False,325,496,[<Video id=1884198084088844288>],"Just now.

Enforcement operation in NYC. Criminal alien with kidnapping, assault &amp; burglary charges is now in custody - thanks to @ICE.

Dirtbags like this will continue to be removed from our streets. https://t.co/fRpJBdmqSl"
4,Open Source Intel,,Osint613,NY - Northern Israel,Thu Jan 02 17:10:07 +0000 2020,691928,903,35361,57912,"WATCH 

New footage emerges showcasing men in civilian clothing kidnapping Noa Argmani on October 7th https://t.co/uKwxtnNRcI",Fri Apr 12 14:55:17 +0000 2024,307,826,en,72644,True,False,46,113,,[],False,72644,307,False,True,35361,57912,[<Video id=1778798954617966592>],"WATCH 

New footage emerges showcasing men in civilian clothing kidnapping Noa Argmani on October 7th https://t.co/uKwxtnNRcI"
5,Ikenna,,UndisputedIyke1,"Lagos, Nigeria",Fri May 17 10:13:09 +0000 2019,2656,5686,1250,13835,"The NSA, Mallam Nuhu Ribadu, received former NYSC DG Maharazu Tsiga and 18 other rescued kidnap victims.

This successful operation was led by the NSA’s office in coordination with Service Chiefs. Ribadu commended security forces and vowed that the perpetrators “will pay dearly. https://t.co/I2Gyox5fA5",Fri Apr 04 08:58:13 +0000 2025,14,12,en,314,True,False,0,1,,[],False,314,14,False,False,1250,13835,[<Video id=1908080654346006528>],"The NSA, Mallam Nuhu Ribadu, received former NYSC DG Maharazu Tsiga and 18 other rescued kidnap victims.

This successful operation was led by the NSA’s office in coordination with Service Chiefs. Ribadu commended security forces and vowed that the perpetrators “will pay dearly. https://t.co/I2Gyox5fA5"
6,Young(est) Thug ひ,,dertyduchess,smwhre btwn psychotic & iconic,Thu May 13 00:37:25 +0000 2010,1692,608,2987,88170,PLEASE SHARE THIS VIDEO. NYP IS GOING UNDERCOVER IN CABS. THEY ABDUCTED THIS BOY FROM HIS CAR AND TOOK HIS KEYS AND DROVE OFF https://t.co/Zhf3j6J5HR,Tue Jun 02 04:22:07 +0000 2020,2680,3319,en,,False,False,179,38,,[],False,,2680,False,True,2987,88170,[<Video id=1267672685196324864>],PLEASE SHARE THIS VIDEO. NYP IS GOING UNDERCOVER IN CABS. THEY ABDUCTED THIS BOY FROM HIS CAR AND TOOK HIS KEYS AND DROVE OFF https://t.co/Zhf3j6J5HR
7,Nigeria Stories,https://t.co/nBGwPohPIR,NigeriaStories,Nigeria,Sat Mar 09 09:21:12 +0000 2019,666502,1,26892,58453,"The National Youth Service Corps (NYSC) has rolled out plans of issuing certificates to prospective corps members who could not be mobilised for the one year national service after falling kidnap victims.

The victims were travelling to Sokoto State for the three weeks https://t.co/smWVxHpMAC",Fri Aug 23 19:07:30 +0000 2024,43,260,en,19032,True,False,1,14,,[],False,19032,43,False,True,26892,58453,[<Photo id=1827060103750598656>],"The National Youth Service Corps (NYSC) has rolled out plans of issuing certificates to prospective corps members who could not be mobilised for the one year national service after falling kidnap victims.

The victims were travelling to Sokoto State for the three weeks orientation course when they were kidnapped in Zamfara State, on August 17, 2023."
8,WSVN 7 News,https://t.co/fx2A1LcmVr,wsvn,Miami / Fort Lauderdale,Wed Sep 17 16:23:47 +0000 2008,483568,858,48987,221310,"Police are searching for two suspects after a man tried to kidnap a 5-year-old boy right in front of his mother in New York City. Luckily, the woman was able to save her son.

STORY: https://t.co/CrgrIhN6a1 https://t.co/4saKUztf89",Fri Jul 16 19:50:19 +0000 2021,201,228,en,,False,False,109,21,,[],False,,201,False,True,48987,221310,[<Video id=1416122822695477249>],"Police are searching for two suspects after a man tried to kidnap a 5-year-old boy right in front of his mother in New York City. Luckily, the woman was able to save her son.

STORY: https://t.co/CrgrIhN6a1 https://t.co/4saKUztf89"
9,NYScanner,,nyscanner,NYC,Mon Apr 12 17:31:32 +0000 2010,162759,131,2878,17346,"WATCH: Moment Karol Sanchez was reunited with her family after being kidnapped in the Bronx 

 https://t.co/71kl1MoibB",Tue Dec 17 20:18:23 +0000 2019,381,1099,en,,True,False,141,55,,[],False,,381,False,True,2878,17346,[<Video id=1207030904264245248>],"WATCH: Moment Karol Sanchez was reunited with her family after being kidnapped in the Bronx 

 https://t.co/71kl1MoibB"
10,NYScanner,,nyscanner,NYC,Mon Apr 12 17:31:32 +0000 2010,162759,131,2878,17346,"AMBER ALERT: Karol Sanchez (16) was kidnapped by a group of males around 11:30PM Monday evening on Eagle Ave in the Bronx. She is 5’5” tall, 150 lbs. Suspects are described as four adult males in their 20s with dark complexions. https://t.co/C5TzpEtOAR",Tue Dec 17 15:43:54 +0000 2019,1541,671,en,,True,False,105,31,,[],False,,1541,False,True,2878,17346,[<Photo id=1206963231060824066>],"AMBER ALERT: Karol Sanchez (16) was kidnapped by a group of males around 11:30PM Monday evening on Eagle Ave in the Bronx. She is 5’5” tall, 150 lbs. Suspects are described as four adult males in their 20s with dark complexions. https://t.co/C5TzpEtOAR"
