Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,___Nelo___,,__Chinelo__,"Lagos, Nigeria",Wed Oct 14 08:19:28 +0000 2020,151,312,23,924,"Hi everyone...uhhh, I'm not so sure how this app works, but I'm hoping this gets to the right audience. I'm currently in search of a PPA in Lagos State for my compulsory one year of service (NYSC). I studied International Relations but I don't mind roles in other fields 🙏🫶",Mon Jul 28 07:04:21 +0000 2025,8,11,en,618,False,False,1,0,,[],,618,8,False,True,23,924,[],"Hi everyone...uhhh, I'm not so sure how this app works, but I'm hoping this gets to the right audience. I'm currently in search of a PPA in Lagos State for my compulsory one year of service (NYSC). I studied International Relations but I don't mind roles in other fields 🙏🫶"
2,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81400,4,10419,61756,"**IMPORTANT NOTICE!**

If you have a company where you would like to serve or if you want NYSC to assign you to a specific state and place of primary assignment (PPA), please follow these steps: https://t.co/m9b9CsIpm2",Sat Nov 23 11:08:35 +0000 2024,44,307,en,54168,True,False,1,19,,[],False,54168,44,False,False,10419,61756,[<Photo id=1860279267520626689>],"**IMPORTANT NOTICE!**

If you have a company where you would like to serve or if you want NYSC to assign you to a specific state and place of primary assignment (PPA), please follow these steps: https://t.co/m9b9CsIpm2"
3,CHUKS 🍥,https://t.co/3IiUYSDLEL,ChuksEricE,,Fri Apr 01 00:35:48 +0000 2022,91644,4920,20828,195877,NYSC corps member shares a video showing what her PPA looks like. https://t.co/MXq1dUlmY4,Fri Jun 27 14:56:29 +0000 2025,82,423,en,111489,True,False,31,150,,[],False,111489,82,False,True,20828,195877,[<Video id=1938612338547929088>],NYSC corps member shares a video showing what her PPA looks like. https://t.co/MXq1dUlmY4
4,Àdìgún,https://t.co/9FMJFBYFG4,FIfedamola,Lagos,Sat Jan 02 13:16:39 +0000 2021,152,857,161,1449,"Last day at PPA... 

Nysc!!! Thank you🙏🏾 https://t.co/04RDlgQ6OK",Mon Jul 21 17:59:06 +0000 2025,0,11,en,1400,False,False,0,2,,[],False,1400,0,False,True,161,1449,[<Photo id=1947355626889158657>],"Last day at PPA... 

Nysc!!! Thank you🙏🏾 https://t.co/04RDlgQ6OK"
5,ALISH 💙,,_alishprince,Nigeria,Mon Dec 25 18:53:45 +0000 2023,317,2357,212,5061,"Na lie 😂😂
Why you no fix me during NYSC as PPA???😂😂 https://t.co/UovgYte7VC",Sun Jul 20 16:05:07 +0000 2025,0,3,en,126,False,False,0,0,,[],False,126,0,False,True,212,5061,[<Photo id=1946964594037080064>],"Na lie 😂😂
Why you no fix me during NYSC as PPA???😂😂 https://t.co/UovgYte7VC"
6,Chieftain 🇰🇵 🦅🌐,,Chiefta10775846,Redacted,Thu Oct 14 13:28:29 +0000 2021,436,800,683,19739,When your PPA and NYSC pay you on the same day https://t.co/ECsn1UnNk7,Mon Jul 28 17:01:45 +0000 2025,0,13,en,283,False,False,0,2,,[],False,283,0,False,False,683,19739,[<Photo id=1949877878474031104>],When your PPA and NYSC pay you on the same day https://t.co/ECsn1UnNk7
7,Mmedara Udo | BioEducator,,UdoMmedara,"Akwa Ibom, Nigeria",Sat May 07 21:34:41 +0000 2016,129,513,10,77,"In line with my national commitment under the NYSC scheme, my personal CDS project was successfully commissioned at my ppa.
Indeed, our flag shall remain a symbol that truth and justice reign
A banner without stain, waving hope across generations. https://t.co/o7RdnKhCGV",Mon Jul 21 23:54:29 +0000 2025,1,6,en,1244,False,False,0,1,,[],False,1244,1,False,True,10,77,"[<Photo id=1947444945645711360>, <Photo id=1947444946773950464>, <Photo id=1947444951635070978>, <Photo id=1947444958685696000>]","In line with my national commitment under the NYSC scheme, my personal CDS project was successfully commissioned at my ppa.
Indeed, our flag shall remain a symbol that truth and justice reign
A banner without stain, waving hope across generations. https://t.co/o7RdnKhCGV"
8,💙عاـُشة,,K_Aaishah,"Lagos, Nigeria",Sun Jul 10 20:07:45 +0000 2022,1108,1071,164,19886,"Nysc should not be scraped tbh
Might be underpaid but it's a good transition for a graduate
If you have privileged enough get a good PPA and stag at your parent house, you will be able to save well.
Tell me which Job will I get immediately after Uni that will pay me 160k???",Mon Jul 28 07:45:09 +0000 2025,1,13,en,1152,False,False,3,1,,[],,1152,1,False,False,164,19886,[],"Nysc should not be scraped tbh
Might be underpaid but it's a good transition for a graduate
If you have privileged enough get a good PPA and stag at your parent house, you will be able to save well.
Tell me which Job will I get immediately after Uni that will pay me 160k???"
9,THE CORPER’S_SHOP,,NYSCGUIDE,Nigeria,Fri Jun 26 08:31:47 +0000 2020,86,167,26,145,"Preparing to go for your one year youth service? We are starting a series, helping you list out good PPA’s across some states. Sound like what you’d like ? Stay tuned ☺️ we kick off tomorrow. #ppa #nysc https://t.co/P2uC3oKevs",Sun Jul 20 19:17:24 +0000 2025,1,2,en,242,False,False,0,0,,"['ppa', 'nysc']",False,242,1,False,True,26,145,"[<Photo id=1947012973735690240>, <Photo id=1947012973731422210>]","Preparing to go for your one year youth service? We are starting a series, helping you list out good PPA’s across some states. Sound like what you’d like ? Stay tuned ☺️ we kick off tomorrow. #ppa #nysc https://t.co/P2uC3oKevs"
10,Hafeezah ❤️,,Atilolahafeezah, Rent free in your head.,Sat Mar 28 13:25:14 +0000 2020,142124,4702,2685,144428,5 months to finish NYSC. They changed my PPA🤣😭 to correctional service. Omo!!! I cried and crodeee😭,Wed Nov 13 21:12:29 +0000 2024,32,456,en,34802,True,False,8,47,,[],,34802,32,False,True,2685,144428,[],5 months to finish NYSC. They changed my PPA🤣😭 to correctional service. Omo!!! I cried and crodeee😭
