Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,Ikenna Nzimora,https://t.co/W8xAWi8IOS,ronaldnzimora,Diaspora,Sun Feb 21 17:16:37 +0000 2010,99301,662,6325,280275,"Scrap the NYSC.

It's now a useless program.",Sun Jan 14 11:03:17 +0000 2024,109,208,en,16552,True,False,13,22,,[],,16552,109,False,False,6325,280275,[],"Scrap the NYSC.

It's now a useless program."
2,Dr X is a World Champion 🏆,,MichaelCletus17,Medical School ,Thu Aug 18 23:11:58 +0000 2022,9595,6003,352,18430,Can't they scrap this NYSC thing for doctors?,Sun Jul 06 13:06:53 +0000 2025,51,290,en,12145,False,False,15,10,,[],,12145,51,False,True,352,18430,[],Can't they scrap this NYSC thing for doctors?
3,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81329,4,10422,61774,"When you get caught Rejoicing after cal up number been released 

AFTER 

""NYSC IS A SCAM, SCRAP IT"". 👍 https://t.co/P1FYYVIuun",Sun Jul 20 12:44:57 +0000 2025,2,71,en,10502,True,False,1,10,,[],False,10502,2,False,False,10422,61774,[<Photo id=1946914220576030720>],"When you get caught Rejoicing after cal up number been released 

AFTER 

""NYSC IS A SCAM, SCRAP IT"". 👍 https://t.co/P1FYYVIuun"
4,𝕩🅳,https://t.co/Pr8TlL84xt,Osetbaby,Under the shadow of God,Sun Jan 07 15:09:47 +0000 2018,28094,8015,7728,185844,"I'm no more a corpse member

NYSC done and dusted , onto the next 
🎉🎉🎉🎉👏 https://t.co/5scJXmlYlF",Tue Jun 03 22:13:02 +0000 2025,36,203,en,8999,True,False,6,64,,[],False,8999,36,False,False,7728,185844,[<Photo id=1930024945066590209>],"I'm no more a corpse member

NYSC done and dusted , onto the next 
🎉🎉🎉🎉👏 https://t.co/5scJXmlYlF"
5,Sahana✨💎,https://t.co/7zhhuQzDKO,inemeka_,Sound World 🎧,Fri Apr 03 02:27:20 +0000 2020,545,396,1880,37095,Can these firms scrap out NYSC as a requirement for graduate trainee roles? https://t.co/GKjDbaDZWo,Wed Jul 09 20:31:15 +0000 2025,0,2,en,274,False,False,0,0,,[],False,274,0,False,False,1880,37095,[<AnimatedGif id=1943045291210317824>],Can these firms scrap out NYSC as a requirement for graduate trainee roles? https://t.co/GKjDbaDZWo
6,ꨄ︎ Sika is Tiredꨄ︎,,TR_Jessika,glasshouse,Tue Feb 22 04:23:53 +0000 2022,1209,1344,359,27860,Omo they should actually scrap NYSC,Mon Jul 28 06:35:05 +0000 2025,1,9,en,370,False,False,0,0,,[],,370,1,False,True,359,27860,[],Omo they should actually scrap NYSC
7,grownupicity✨,,zuaramnwa,Somewhere peaceful🥺,Fri Jan 04 21:02:32 +0000 2019,1162,583,201,11529,"They refused to scrap this NYSC, now I have to start searching for good PPA’s😪
Help me😩",Wed Jul 23 14:57:37 +0000 2025,0,0,en,108,False,False,0,0,,[],,108,0,False,True,201,11529,[],"They refused to scrap this NYSC, now I have to start searching for good PPA’s😪
Help me😩"
8,Safiyya Maijama'a,,Jost_Jefa,,Sun Dec 15 10:31:40 +0000 2013,1564,1364,682,28215,Make them scrap this NYSC thing.,Sun Jul 27 14:50:48 +0000 2025,2,4,en,334,False,False,0,1,,[],,334,2,False,True,682,28215,[],Make them scrap this NYSC thing.
9,HacK🔑Tet,,ArCtIST1,Nigeria,Sat Jul 25 00:58:31 +0000 2015,359,618,63,4134,"My candid suggestion 
National Diploma (ND) - 2years
Industrial Training - 1 year
Scrap HND and all students should write DIrect Entry
https://t.co/Bl1jDgDTQG / https://t.co/9L7CHFBr7x - 2 years
https://t.co/MQoV33YZdR / https://t.co/UbBavMRLnB - 2 years
Scrap NYSC",Thu Jul 03 07:14:39 +0000 2025,1,4,en,979,False,False,0,2,,[],False,979,1,False,True,63,4134,[],"My candid suggestion 
National Diploma (ND) - 2years
Industrial Training - 1 year
Scrap HND and all students should write DIrect Entry
https://t.co/Bl1jDgDTQG / https://t.co/9L7CHFBr7x - 2 years
https://t.co/MQoV33YZdR / https://t.co/UbBavMRLnB - 2 years
Scrap NYSC"
10,Omologe🧡,,Simbiat_Amzat,"Abuja, Nigeria",Tue Jan 23 18:15:10 +0000 2018,974,1325,135,5539,"...and with that, the #NYSC szn comes to an end. Alhamdulillah 🥺 https://t.co/KS2G9amnLm",Thu Mar 27 13:02:45 +0000 2025,31,344,en,17814,False,False,6,45,,['NYSC'],False,17814,31,False,True,135,5539,"[<Photo id=1905244093787090945>, <Photo id=1905244093006934016>, <Photo id=1905244092730122240>]","...and with that, the #NYSC szn comes to an end. Alhamdulillah 🥺 https://t.co/KS2G9amnLm"
