Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"Augustine Abigail Tolu, a Batch B2 NYSC CDS organizer, is leading a sensitization program on personal hygiene, sponsored by a local police officer. 

The event is hosted at Government Girls Secondary School in Biu, 

 The mini project focused on menstrual hygiene awareness in all https://t.co/k0WGMtFPIT",Wed Jul 23 10:48:48 +0000 2025,1,21,en,1389,True,False,0,1,,[],False,1389,1,False,True,10355,61458,[<Photo id=1947972153594327041>],"Augustine Abigail Tolu, a Batch B2 NYSC CDS organizer, is leading a sensitization program on personal hygiene, sponsored by a local police officer. 

The event is hosted at Government Girls Secondary School in Biu, 

 The mini project focused on menstrual hygiene awareness in all female schools."
2,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"PERSONAL CDS PROJECT SUCCESSFULLY COMPLETED!

I’m filled with gratitude and joy as I share the successful completion of my Personal Community Development Service (CDS) Project, The donation of Fifty (50) hospital bedsheets to the Primary Health Center (PHC) Gumbi Wamakko Local https://t.co/VAh4r1UUlz",Thu Jul 17 18:07:44 +0000 2025,2,71,en,6101,True,False,0,4,,[],False,6101,2,False,True,10355,61458,"[<Photo id=1945908284684173312>, <Photo id=1945908285929877504>, <Photo id=1945908287263666176>, <Photo id=1945908288161206275>]","PERSONAL CDS PROJECT SUCCESSFULLY COMPLETED!

I’m filled with gratitude and joy as I share the successful completion of my Personal Community Development Service (CDS) Project, The donation of Fifty (50) hospital bedsheets to the Primary Health Center (PHC) Gumbi Wamakko Local Government, Sokoto State. 

This project was born out of a desire to give back to my host community. By donating these bedsheets, I hoped to improve the comfort and hygiene of patients receiving care at the facility.

It was even more special to have my brothers, sisters, friends and fellow corps members present during the donation. Their presence and support meant everything to me. 

I was presented with a Commendation Letter from the in-charge of the PHC in appreciation of the project. This recognition has encouraged me to continue being a vessel of service, no matter how small the act may seem.

I’ve learned that impact doesn’t always require a big platform, sometimes it just takes a willing heart and a bit of effort.

To everyone who supported me in any way, thank you! This is just the beginning of a lifetime of service to humanity. 🇳🇬✨

Sadiq Tukur Gele
SO/24B/2550"
3,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"NYSC OYO STAFF BIDS FAREWELL TO  RETIRED OFFICERS, CELEBRATES TRANSFERRED OFFICERS 

In a heartwarming celebration that embodied the spirit of camaraderie and appreciation, NYSC Oyo staff gathered to honor two esteemed colleagues: Mr. Mathew Adewuyi and Mrs. Kolade Justina who https://t.co/yB2Fa80zpG",Tue Jul 22 21:27:03 +0000 2025,3,21,en,2048,True,False,0,0,,[],False,2048,3,False,True,10355,61458,"[<Photo id=1947770377159004160>, <Photo id=1947770378933112832>, <Photo id=1947770376085196801>, <Photo id=1947770380954841088>]","NYSC OYO STAFF BIDS FAREWELL TO  RETIRED OFFICERS, CELEBRATES TRANSFERRED OFFICERS 

In a heartwarming celebration that embodied the spirit of camaraderie and appreciation, NYSC Oyo staff gathered to honor two esteemed colleagues: Mr. Mathew Adewuyi and Mrs. Kolade Justina who retired from service and  Staffers who were on posting to another formations of the NYSC Scheme. The event, put together by the Staff Welfare, NYSC Oyo was filled with warmth, nostalgia, and joy. It was a befitting tribute to the celebrants' commitment, dedication, doggedness and invaluable contributions to the NYSC Scheme over the years.

In his opening remarks, the State Coordinator, Mr. Kayode Ola Peters warmly welcomed all Members of Staff, the retirees and their families and friends, setting the tone for a memorable occasion.  He expressed profound gratitude to God for His mercy, protection, and blessings over their lives, noting that it is a thing of joy to start well and finish strong without recording any casaulty. 

While acknowledging and thanking the retirees for their invaluable contributions during their years in active service, Kayode stressed that the Scheme will reach out to them anytime to tap from their wealth of experience, recognizing the immense value they would bring to the organization even in retirement. 

In his welcome address, the Chairman of the Staff Welfare, Mr. Orioke Oluwaseun expressed gratitude to the State Coordinator for his support in making the event a reality. He congratulated the retirees for their successful disengagement from service and prayed that God will strengthen them the more and guide them through their future endeavours.

Members of Staff who gave goodwill messages described the retirees as dogged, committed, easygoing, and great mentors. Their colleagues praised their dedication, commitment, and passion for their work, which has left a lasting impact on the organization.

In their separate responses, the celebrants thanked the entire staff for the show of love and prayed that the good working relationship in the Scheme be sustained.

The highlight of the occasion was the presentation of cash gifts to the retirees and transferred Officers and group photographs. These gestures served as a token of appreciation for the retirees' years of service and commitment to the organization."
4,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"NYSC LAGOS STATE COORDINATOR  URGES CORPS MEMBERS TO BUILD CAREER  BEYOND SERVICE  YEAR

The National Youth Service Corps (NYSC) Lagos State Coordinator, Mrs. Christiana Salmwang, has advised corps members of the 2024 Batch B Stream II to leverage skills gained during their https://t.co/l5mvw6ODDf",Tue Jul 22 21:32:11 +0000 2025,2,20,en,2967,True,False,1,0,,"['afterlagosnastilllagos', 'servicewithsauce', 'nysclagos', 'lagosnigeria', 'Batch2025']",False,2967,2,False,True,10355,61458,"[<Photo id=1947771672326524928>, <Photo id=1947771674675343360>, <Photo id=1947771678680821761>, <Photo id=1947771678378868736>]","NYSC LAGOS STATE COORDINATOR  URGES CORPS MEMBERS TO BUILD CAREER  BEYOND SERVICE  YEAR

The National Youth Service Corps (NYSC) Lagos State Coordinator, Mrs. Christiana Salmwang, has advised corps members of the 2024 Batch B Stream II to leverage skills gained during their service year and prepare for post-service employment.

Speaking at the Job Awareness and Creation (JAC) flag-off, Mrs. Salmwang congratulated the corps members and emphasized the importance of acquiring skills after their service year. She highlighted the NYSC Job Portal as a vital resource for job seekers, stressing the need for well-structured CVs to stand out in a competitive job market.

Other speakers at the event, including Mrs. Stella Nweke (Assistant Director, SAED), Mrs. Thomas Iraboh (National Directorate of Employment), and Mrs. Iyanuoluwa (Federal Ministry of Labour and Employment), shared insights on vocational training, job creation initiatives, and workplace safety regulations.

Engineer George Richard, the oldest SAED trainer, advised corps members on job security and interview skills, emphasizing the importance of unique skills and international language proficiency.

In her closing remarks, Mrs. Salmwang urged corps members to avoid drug abuse, focus on personal development, and contribute positively to society.
In a related development, the Institute of professional Entrepreneurship Development successfully concluded its three month training program, graduating twenty corps members who were awarded certificates in various professionals courses ,including project Management, Facility Management, Human Resources Management, and Entrepreneurship Development, equipping them with valuable skills for their future endeavors.

#afterlagosnastilllagos #servicewithsauce #nysclagos #lagosnigeria #Batch2025"
5,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"He increased allowance from N19,800 to N33,000 and even paid corps members during the lockdown. 

He loved corps members and the welfare of Nigerians was priority to him. 

Rest in Peace His Excellency President Mohammadu Buhari, GCFR.

Please drop a 💐🇳🇬 to honour this great https://t.co/hzzrM7icNd",Sun Jul 13 17:47:19 +0000 2025,932,7002,en,367749,True,False,142,810,,[],False,367749,932,False,True,10355,61458,[<Photo id=1944453597241946112>],"He increased allowance from N19,800 to N33,000 and even paid corps members during the lockdown. 

He loved corps members and the welfare of Nigerians was priority to him. 

Rest in Peace His Excellency President Mohammadu Buhari, GCFR.

Please drop a 💐🇳🇬 to honour this great national hero 

Cc corpersdiary_ng"
6,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"LAGOS CORPS MEMBER EMPOWERS STUDENTS THROUGH GOAL 4 AND 10 OF SDGs

A corps member of Oshodi/Isolo Local Government Area, Favour Obeto, has made a remarkable impact by donating 55 brand new school uniforms, three large 4x8 white marker boards, and a 15 inch public address system https://t.co/lxZWNOjryQ",Thu Jul 17 08:29:41 +0000 2025,0,16,en,1936,True,False,0,0,,[],False,1936,0,False,True,10355,61458,"[<Photo id=1945762807783309312>, <Photo id=1945762811805655040>, <Photo id=1945762809611952128>, <Photo id=1945762812074074112>]","LAGOS CORPS MEMBER EMPOWERS STUDENTS THROUGH GOAL 4 AND 10 OF SDGs

A corps member of Oshodi/Isolo Local Government Area, Favour Obeto, has made a remarkable impact by donating 55 brand new school uniforms, three large 4x8 white marker boards, and a 15 inch public address system (PAS) to students of Oshodi Comprehensive Senior and Junior High School, Oshodi, Lagos.

Obeto Favour with code number LA/24B/9036, member of the SDGs Special CDS group, said the project was inspired by Sustainable Development Goals 4 and 10, which promote Quality Education and Reduced Inequality.

The corps member who is currently serving at Mopson Pharmaceutical Limited chose to carry out the project at Oshodi Comprehensive Senior and Junior Schools after a personal encounter with some of the students. She noted that despite wearing tattered uniforms, the students displayed a strong eagerness to learn. This moved her to conduct a needs assessment and take practical steps to support their education.

She acknowledged the support of donors who made the project possible, including BEMJ International Educational Services, Abraham Ilukhor Foundation, Jehokel Construction Company, Mr. Gift A. Oboh, Mr. Innocent Omozokpia, and Mopson Pharmaceutical Limited.

Speaking at the event, the Lagos State Coordinator, Mrs. Christianah Salmwang, represented by the Assistant Director, Community Development Service (CDS), Mrs. Grace Oso emphasized that CDS is one of the four Cardinal programs of the scheme, through which corps members are expected to give back to their host communities. She commended Favour for her commitment to the ideals of the scheme and the outstanding effort to leave a legacy worthy of emulation. She therefore called on the Corps members present to draw inspiration from Favour by positively impacting their host community.

The Principal of Oshodi Comprehensive Senior High School, Mr. Oyemakin Felix, expressed deep appreciation for Favour’s commitment to the success of the project. He also acknowledged the efforts of the Lagos State Government in improving the standard of education.

One of the sponsors, Mr. Jeremiah Etu, also commended Favour for her previous initiative “Pad a Girl” project in Edo State, and thanked the NYSC for encouraging community development efforts like hers.

Mrs. Mojisola Amodu, SDGs Schedule Officer, commended Favour Obeto for her resilience and determination in executing the project. She lauded Obeto's dedication, stating it reflects the true spirit of the Sustainable Development Goals.

The event was graced by the presence of the Assistant Director CDS, Mrs. Grace Oso; the Principals of both the Senior and Junior sections of Oshodi Comprehensive High School; the Zonal Inspector,Ikeja zone ,Mrs. Yewande Abimbola; the SDG Schedule Officer, Mrs. Mojisola Amodu; the NYSC Local Government Inspector for Oshodi/Isolo, Mrs. Oyerinde Omolara,NYSC officials,teachers, and parents."
7,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"2025 Batch ""B"" Stream I Orientation Course commences on the Wednesday 30th of July, and ends on the 19th of August, 2025. https://t.co/5oftUwvJus",Tue Jul 22 21:25:49 +0000 2025,22,281,en,16786,True,False,2,26,,[],False,16786,22,False,True,10355,61458,[<Photo id=1947770072547708928>],"2025 Batch ""B"" Stream I Orientation Course commences on the Wednesday 30th of July, and ends on the 19th of August, 2025. https://t.co/5oftUwvJus"
8,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"EDUCATIONAL DEVELOPMENT CDS GROUP OWAN WEST LGA ORGANIZES SEMINAR ON IMPORTANCE OF EDUCATION AND PARENTAL INVOLVEMENT

The Educational Development Community Development Service (CDS) group of Owan West Local Government Area of Edo State, organized a crucial seminar on ""Importance https://t.co/muqeCc4ebW",Tue Jul 22 21:26:28 +0000 2025,2,11,en,1735,True,False,0,0,,[],False,1735,2,False,True,10355,61458,"[<Photo id=1947770232543522816>, <Photo id=1947770232753328128>, <Photo id=1947770234359709696>, <Photo id=1947770236427476992>]","EDUCATIONAL DEVELOPMENT CDS GROUP OWAN WEST LGA ORGANIZES SEMINAR ON IMPORTANCE OF EDUCATION AND PARENTAL INVOLVEMENT

The Educational Development Community Development Service (CDS) group of Owan West Local Government Area of Edo State, organized a crucial seminar on ""Importance of Education And Parental Involvement"" at Sobe community. 

The goal of the seminar was to bring together students, parents, school owners, teachers, community members and other stakeholders to strategize on how to develop education in Sobe and foster high level of collaboration between schools and the entire community to promote holistic approach to learning. 

Speaking earlier, the guest speaker, Honourable Abode Thaddeus, while delivering his paper highlighted the role of parents, teachers and students in increasing school enrollment, reducing the number of out of school children and commitment of parents in the education of their children and wards. 

The seminar was very educative, impactful and well attended by the stakeholders. Prizes were given to students who responded correctly to questions. 
The stakeholders on their part, commended the NYSC for organising the programme. 

In her closing remark, the Local Government Inspector, Mrs Haruna Salamat expressed appreciation to all the participants, Stakeholders, guests as well as corps members for their active participation and contributions towards the success of the programme."
9,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,"25days more to go, soon to be EX corper it was a beautiful Journey, say congratulations to me joor. ...stay blessed 🙌 https://t.co/PLNAt2pcQM",Sat Jul 12 09:51:24 +0000 2025,20,482,en,37624,True,False,3,18,,[],False,37624,20,False,True,10355,61458,"[<Photo id=1943971440539148288>, <Photo id=1943971440077803521>]","25days more to go, soon to be EX corper it was a beautiful Journey, say congratulations to me joor. ...stay blessed 🙌 https://t.co/PLNAt2pcQM"
10,NYSC360,,nysc360,"Lagos, Nigeria",Thu Apr 22 22:03:16 +0000 2021,81017,4,10355,61458,PPA REPOSTING LETTER FORMAT THROUGH LGI https://t.co/qiinjfbIGE,Wed Jul 16 07:16:20 +0000 2025,15,181,en,18801,True,False,0,4,,[],False,18801,15,False,True,10355,61458,[<Photo id=1945381970726297600>],PPA REPOSTING LETTER FORMAT THROUGH LGI https://t.co/qiinjfbIGE
