Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Eid-El-Fitr greetings 
https://t.co/H30uHNWTA3 https://t.co/1imSxuclLV",Fri Jun 15 07:52:35 +0000 2018,43,383,en,,False,False,8,116,"<Place id=""01c46739344ba9f6"" name=""Federal Capital Territory"">",[],False,,43,False,False,1988,8011,[<Photo id=1007531283352825856>],"Eid-El-Fitr greetings 
https://t.co/H30uHNWTA3 https://t.co/1imSxuclLV"
2,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"HURRAY NYSC IS 45
https://t.co/s0UILGGL1A
#HappyBirthday https://t.co/M99AyHX8B5",Tue May 22 11:49:37 +0000 2018,169,938,sv,,False,False,35,328,"<Place id=""01e272024ddb6128"" name=""Oshogbo"">",['HappyBirthday'],False,,169,False,False,1988,8011,[<Photo id=998893617543430144>],"HURRAY NYSC IS 45
https://t.co/s0UILGGL1A
#HappyBirthday https://t.co/M99AyHX8B5"
3,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,NYSC trains Officers on Gender Mainstreaming  https://t.co/Ic8fdkuwmB https://t.co/hBNaw41YUM,Thu May 24 18:04:52 +0000 2018,11,44,en,,False,False,1,10,"<Place id=""01e272024ddb6128"" name=""Oshogbo"">",[],False,,11,False,False,1988,8011,"[<Photo id=999712148388540417>, <Photo id=999712426747719681>, <Photo id=999712547010789377>, <Photo id=999712696860839936>]",NYSC trains Officers on Gender Mainstreaming  https://t.co/Ic8fdkuwmB https://t.co/hBNaw41YUM
4,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Corps Members urged to be security conscious  https://t.co/KbOaSHopIg
#2018A Orientation Camp Tour https://t.co/FPOB3w1m3P",Wed Apr 25 22:57:14 +0000 2018,18,90,en,,False,False,4,10,"<Place id=""001129c323508f81"" name=""Bukuru"">",['2018A'],False,,18,False,False,1988,8011,"[<Photo id=989277091509211137>, <Photo id=989277145464786944>]","Corps Members urged to be security conscious  https://t.co/KbOaSHopIg
#2018A Orientation Camp Tour https://t.co/FPOB3w1m3P"
5,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Insecurity: No Posting of Corps Members to Crisis Areas - DG says  https://t.co/u7KL2W2ro1
#2018A Orientation Camp Tour. https://t.co/o3bMnIVkS0",Mon May 07 23:27:17 +0000 2018,30,91,en,,False,False,1,16,"<Place id=""00471158780c8d90"" name=""Shagamu"">",['2018A'],False,,30,False,False,1988,8011,[<Photo id=993633348630310913>],"Insecurity: No Posting of Corps Members to Crisis Areas - DG says  https://t.co/u7KL2W2ro1
#2018A Orientation Camp Tour. https://t.co/o3bMnIVkS0"
6,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,2019 Elections: Group partners NYSC on credible polls https://t.co/I1CfzVS9IK https://t.co/VPyn8E18c6,Thu Jun 07 17:13:44 +0000 2018,23,196,en,,False,False,5,33,"<Place id=""00e55e2b4c491c5f"" name=""Abuja"">",[],False,,23,False,False,1988,8011,"[<Photo id=1004773367700967427>, <Photo id=1004773393726672896>]",2019 Elections: Group partners NYSC on credible polls https://t.co/I1CfzVS9IK https://t.co/VPyn8E18c6
7,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Corps Members hails NYSC on increased allowances https://t.co/l9glr0rUWp
#2018A Orientation Camp Tour https://t.co/7w9wbjTTwQ",Sat May 05 22:39:27 +0000 2018,60,152,en,,False,False,10,44,"<Place id=""01aca86a155c9099"" name=""Enugu"">",['2018A'],False,,60,False,False,1988,8011,"[<Photo id=992896542402064384>, <Photo id=992896561645543425>]","Corps Members hails NYSC on increased allowances https://t.co/l9glr0rUWp
#2018A Orientation Camp Tour https://t.co/7w9wbjTTwQ"
8,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,NYSC Trains Officers on Post-Service Responsibilities   https://t.co/3IOiLMoQvy https://t.co/Peiw50JYDF,Wed Jun 06 13:38:47 +0000 2018,14,141,en,,False,False,2,31,"<Place id=""00e55e2b4c491c5f"" name=""Abuja"">",[],False,,14,False,False,1988,8011,"[<Photo id=1004356877214519298>, <Photo id=1004356914019479552>]",NYSC Trains Officers on Post-Service Responsibilities   https://t.co/3IOiLMoQvy https://t.co/Peiw50JYDF
9,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Director-General Warns Corps Members Against Electoral Offences  https://t.co/GS6X7p2AER
#2018A Orientation Course Closing Ceremony. https://t.co/P7XmcqgDgR",Wed May 09 16:25:22 +0000 2018,12,61,en,,False,False,0,5,"<Place id=""01eddd9d0dbec2c8"" name=""Ikeja"">",['2018A'],False,,12,False,False,1988,8011,[<Photo id=994251959027814400>],"Director-General Warns Corps Members Against Electoral Offences  https://t.co/GS6X7p2AER
#2018A Orientation Course Closing Ceremony. https://t.co/P7XmcqgDgR"
10,NYSC HQ Nigeria,https://t.co/lFH2Y2l40R,nysc_ng,"NYSC NDHQ MAITAMA  FCT, ABUJA",Thu Jul 17 17:49:17 +0000 2014,106472,87,1988,8011,"Director-General tasks Corps Members on Security Awareness https://t.co/N8jhfwDr0v
#2018A Orientation Camp Tour https://t.co/6ruYIQAlBC",Fri May 04 20:14:02 +0000 2018,15,59,en,,False,False,1,4,"<Place id=""018399776b7710d2"" name=""Abakaliki"">",['2018A'],False,,15,False,False,1988,8011,"[<Photo id=992497528200482817>, <Photo id=992497546198224896>, <Photo id=992497564221046789>]","Director-General tasks Corps Members on Security Awareness https://t.co/N8jhfwDr0v
#2018A Orientation Camp Tour https://t.co/6ruYIQAlBC"
