Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,Jewelry/Fabrics vendor in Ile-Ife/Ilorin,https://t.co/9PxssUXcCa,AmirahAyinla,"Ife, Nigeria",Thu Jan 18 10:13:59 +0000 2024,7,79,6,48,@nysc360 I’m in to jewelry and fabrics business (male) https://t.co/bRqGEiRmin,Mon Jul 21 10:55:19 +0000 2025,0,2,en,419,False,False,0,0,,[],False,419,0,False,False,6,48,"[<Photo id=1947248947002486784>, <Photo id=1947248947078062080>, <Photo id=1947248947413557248>, <Photo id=1947248947031932928>]",@nysc360 I’m in to jewelry and fabrics business (male) https://t.co/bRqGEiRmin
2,HairbyWendy,,airByWendy,,Thu Jun 13 17:25:56 +0000 2024,3,45,3,6,"@nysc360 I sells Jewelries and my location is Abeokuta,Sagamu abd Ibadan https://t.co/rSuS9Ur8wa",Mon Jul 21 08:49:14 +0000 2025,0,5,en,932,False,False,0,1,,[],False,932,0,False,True,3,6,"[<Photo id=1947217277335519232>, <Photo id=1947217277314580480>, <Photo id=1947217277310402561>, <Photo id=1947217277310345216>]","@nysc360 I sells Jewelries and my location is Abeokuta,Sagamu abd Ibadan https://t.co/rSuS9Ur8wa"
3,Idowu Adeleke,https://t.co/uYNJoir6gf,IamHighNoble,"Abuja, Nigeria",Tue Oct 17 20:50:34 +0000 2017,52,263,110,217,"@nysc360 
Serving Nigeria with all my might 💪under the sun or in the rain.
National Youth Service Corps, Financial Inclusion CDs Group Uyo, Akwa-Ibom State - The Land of Promise.

Even though  I'm sick today, I still made it to our CDS. https://t.co/cTkP9FcaXo",Wed Jul 16 18:04:53 +0000 2025,2,17,en,3081,False,False,0,1,,[],False,3081,2,False,True,110,217,"[<Photo id=1945544304421711872>, <Photo id=1945544304404930560>, <Photo id=1945544304396558336>, <Photo id=1945544304409124864>]","@nysc360 
Serving Nigeria with all my might 💪under the sun or in the rain.
National Youth Service Corps, Financial Inclusion CDs Group Uyo, Akwa-Ibom State - The Land of Promise.

Even though  I'm sick today, I still made it to our CDS. https://t.co/cTkP9FcaXo"
4,Imrana Basheer,,imrana_basheer,"Kaduna, Nigeria",Mon Jun 17 00:48:43 +0000 2024,50,169,26,2564,@nysc360 Be ready to face sun and don’t fall in love !!! https://t.co/t8tqOaiZya,Sun Jul 13 04:20:11 +0000 2025,1,5,en,972,False,False,0,0,,[],False,972,1,False,False,26,2564,[<Video id=1944250419263205377>],@nysc360 Be ready to face sun and don’t fall in love !!! https://t.co/t8tqOaiZya
5,Live Life,,Dj_Claud,Earth,Sat May 08 10:44:29 +0000 2021,408,386,28,452,@nysc360 When is portal opening for registration? Your answer! https://t.co/TVstBP27qx,Wed Jul 16 10:44:15 +0000 2025,4,19,en,2321,False,False,0,6,,[],False,2321,4,False,False,28,452,[<Video id=1945434054855127040>],@nysc360 When is portal opening for registration? Your answer! https://t.co/TVstBP27qx
6,Mubarak Dauda,,Mubee77,"Bauchi, Nigeria",Sat Aug 12 18:55:36 +0000 2023,578,4628,105,1130,@nysc360 Please when do you open the portal for new registration again?,Mon Jul 14 13:25:53 +0000 2025,1,4,en,3333,False,False,0,1,,[],,3333,1,False,True,105,1130,[],@nysc360 Please when do you open the portal for new registration again?
7,RAMON AWWAL,,AwwalRamon,,Fri Sep 09 23:29:16 +0000 2022,21,455,3,60,@nysc360 Tell Nysc to pay ex corper's arrears oooo,Wed Jul 16 20:11:06 +0000 2025,4,23,en,7959,False,False,0,2,,[],,7959,4,False,True,3,60,[],@nysc360 Tell Nysc to pay ex corper's arrears oooo
8,Olorunleke Boluwatife J.,,olorunleke_b,"Lagos, Nigeria",Thu Sep 28 23:58:13 +0000 2023,117,145,28,262,@nysc360 Make I no just know your real face if not ehn💀,Sun Jul 20 23:44:45 +0000 2025,0,2,en,735,False,False,0,0,,[],,735,0,False,True,28,262,[],@nysc360 Make I no just know your real face if not ehn💀
9,👑Elevate,,king_elevate,World,Fri Jul 28 23:15:35 +0000 2017,109,896,497,2951,"@nysc360 @nysc360 
Asking for my sister, what does the date imply.
Thanks https://t.co/LkXKxL5khR",Mon Jul 21 11:09:14 +0000 2025,0,3,en,1348,False,False,0,4,,[],False,1348,0,False,True,497,2951,[<Photo id=1947252509073952768>],"@nysc360 @nysc360 
Asking for my sister, what does the date imply.
Thanks https://t.co/LkXKxL5khR"
10,Fav,,OfficialTeeMic,,Sun Aug 18 06:19:40 +0000 2019,33,48,2,94,@nysc360 Register and belive in God,Mon Jul 14 14:42:02 +0000 2025,1,3,en,996,False,False,0,0,,[],,996,1,False,False,2,94,[],@nysc360 Register and belive in God
11,AmiNU aLI SHUwa,,AMINUALISHUWA,"Maiduguri, Nigeria",Wed Jul 20 20:52:48 +0000 2022,255,949,10,1090,"@nysc360 We have problems with our correction of date of birth, please fixing it to us",Sun Jul 20 20:28:21 +0000 2025,0,2,en,357,False,False,0,0,,[],,357,0,False,True,10,1090,[],"@nysc360 We have problems with our correction of date of birth, please fixing it to us"
12,Neato Alex,,NeatoA95,,Thu Jun 19 10:49:14 +0000 2025,14,78,18,87,"@nysc360 I don't know what to say to again, NYSC NYSC.......mmm",Sun Jul 20 09:47:18 +0000 2025,1,8,en,3550,False,False,0,0,,[],,3550,1,False,False,18,87,[],"@nysc360 I don't know what to say to again, NYSC NYSC.......mmm"
13,Abhiele Agimenlen,,agimenlen4real,Lagos Nigeria ,Tue Jan 10 15:20:48 +0000 2023,614,2033,4,3034,"@nysc360 I lost my happiness likewise my thinking till date, the day I was exempted from NYSC. If only I knew😂😂",Fri Jul 18 14:07:47 +0000 2025,3,9,en,3889,False,False,0,1,,[],,3889,3,False,False,4,3034,[],"@nysc360 I lost my happiness likewise my thinking till date, the day I was exempted from NYSC. If only I knew😂😂"
14,SAGE,,Troglodyte0001,Highland,Sun Sep 24 01:47:18 +0000 2023,22,84,23,268,"@nysc360 I keep getting this message even though I entered the correct details. What do I do, sir? https://t.co/Zxw51LqzPo",Fri Jul 18 09:29:56 +0000 2025,0,4,en,2692,False,False,0,2,,[],False,2692,0,False,True,23,268,[<Photo id=1946140354207477760>],"@nysc360 I keep getting this message even though I entered the correct details. What do I do, sir? https://t.co/Zxw51LqzPo"
15,sirmuel123,,sirmuel1234,,Wed Oct 23 04:31:51 +0000 2024,17,121,7,460,"@nysc360 Please I beg you, give me the NYSC email address. I would like to express my displeasure to them, as I have not received my call-up number since April 8. Ooh wrong nau",Sat Jul 19 21:53:38 +0000 2025,3,12,en,4490,False,False,1,2,,[],,4490,3,False,True,7,460,[],"@nysc360 Please I beg you, give me the NYSC email address. I would like to express my displeasure to them, as I have not received my call-up number since April 8. Ooh wrong nau"
