Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,FỌLÁHÀNMÍ ÀKÀNNÍ❤️𓃵,https://t.co/TU1P9mIJtt,Balozmuba,You See Me When You See Me.,Fri Jan 10 18:20:26 +0000 2014,1368,900,417,8575,@nysc_ng @officialnyscng @nysc360 @officialABAT @jidesanwoolu @followlasg @nysclagos @instablog9ja @yabaleftonline @LagosTalks913 @lagostraffic961 @CoolFMNigeria I don’t have much to say but PLEASE FIND IMMEDIATE SOLUTION TO THIS. https://t.co/ZLHmp1APXz,Thu Oct 17 16:16:55 +0000 2024,4,15,en,6627,False,False,1,2,,[],False,6627,4,False,True,417,8575,"[<Photo id=1846948205176451072>, <Video id=1846948205147152385>, <Video id=1846948205151264768>]",@nysc_ng @officialnyscng @nysc360 @officialABAT @jidesanwoolu @followlasg @nysclagos @instablog9ja @yabaleftonline @LagosTalks913 @lagostraffic961 @CoolFMNigeria I don’t have much to say but PLEASE FIND IMMEDIATE SOLUTION TO THIS. https://t.co/ZLHmp1APXz
2,𝐑𝐮𝐛𝐲,,olamaboro_boy,"Port Harcourt, Nigeria",Fri Jan 17 16:23:59 +0000 2020,1297,1311,1603,12190,@nysc_ng even if the money no complete make una send am https://t.co/kE9RJ8WU68,Wed Oct 04 04:50:29 +0000 2023,1,4,en,344,False,False,0,0,,[],False,344,1,False,True,1603,12190,[<Video id=1709430746450964480>],@nysc_ng even if the money no complete make una send am https://t.co/kE9RJ8WU68
3,他,,ToluFfs,Beside you,Fri Jul 22 15:36:55 +0000 2016,2158,2122,475,27871,@nysc_ng https://t.co/BWCaSFuKYD,Mon Jan 31 15:53:33 +0000 2022,0,0,qme,,False,False,0,0,,[],False,,0,False,False,475,27871,[<Photo id=1488178638860308484>],@nysc_ng https://t.co/BWCaSFuKYD
4,Mide29th,https://t.co/IiGpTxzv6X,i_am_oshea,Somewhere on Earth,Mon May 14 18:22:20 +0000 2018,2378,2796,1923,38787,"@nysc_ng 
What's happening?? https://t.co/3dYvzIgkao",Mon Jan 31 22:08:47 +0000 2022,1,1,en,,False,False,0,2,,[],False,,1,False,True,1923,38787,[<Video id=1488273051032731656>],"@nysc_ng 
What's happening?? https://t.co/3dYvzIgkao"
5,🇮 🇦 🇲 🇯 🇮 🇩 🇪,,Remedy007,"Nigeria, 043 Ai",Tue Feb 15 14:07:51 +0000 2011,1012,1115,82,7312,@nysc_ng how much is bicycle allowance again? https://t.co/g1JyTcrNXf,Wed Mar 23 19:54:24 +0000 2022,0,0,en,,False,False,0,0,,[],False,,0,False,True,82,7312,[<Photo id=1506721028306882568>],@nysc_ng how much is bicycle allowance again? https://t.co/g1JyTcrNXf
6,Timothy Ekele,https://t.co/ejGuqYWyBz,timothyekele_,"Lagos, Nigeria",Sun Oct 17 12:39:20 +0000 2010,1914,774,115,4145,@nysc_ng  Representing NYSC DT/22C OBS Head Of Sound and repping Platoon7 ….. thanks for the massive love and support from all core member in Delta State Issele-Uku 22 batch C stream 1 ❤️❤️❤️ https://t.co/FCO4Q0Ik9U,Fri Nov 25 10:14:47 +0000 2022,0,0,en,,False,False,0,1,,[],False,,0,False,True,115,4145,[<Video id=1596084785369202689>],@nysc_ng  Representing NYSC DT/22C OBS Head Of Sound and repping Platoon7 ….. thanks for the massive love and support from all core member in Delta State Issele-Uku 22 batch C stream 1 ❤️❤️❤️ https://t.co/FCO4Q0Ik9U
7,IN YO FACE!!!,https://t.co/cVz2ApGNp9,therealhuwak,X-space,Mon Nov 20 09:46:19 +0000 2017,2546,2405,305,20196,@nysc_ng abeg nah😭🤲🏿🤲🏿 https://t.co/wdZTVfWyuY,Wed May 31 18:03:57 +0000 2023,0,0,de,30,False,False,0,0,,[],False,30,0,False,False,305,20196,[<Photo id=1663969577951195136>],@nysc_ng abeg nah😭🤲🏿🤲🏿 https://t.co/wdZTVfWyuY
8,Tay,,AlimiHenry,"London, England",Tue Sep 12 21:24:20 +0000 2017,831,887,1828,42631,@nysc_ng https://t.co/0gSRjl9prP,Thu Sep 30 19:08:26 +0000 2021,0,0,qme,,False,False,0,0,,[],False,,0,False,True,1828,42631,[<AnimatedGif id=1443653975555854338>],@nysc_ng https://t.co/0gSRjl9prP
9,Abdul-Ganiy Usman,https://t.co/WBFRJZvsDS,aganiy_usman,"Lagos, Nigeria",Wed Sep 25 12:32:07 +0000 2019,73,321,31,308,@nysc_ng A Corp member was just denied entry into the NYSC secretariat in Lagos cos of the hijab. Why will a conscious and modest Muslim following the tenets of her religion be required to totally removed her dress before allowed entry into your premises. https://t.co/iEM2fcYsPZ,Thu Apr 28 13:08:56 +0000 2022,1,2,en,,False,False,1,1,,[],False,,1,False,False,31,308,[<Photo id=1519664962234372097>],@nysc_ng A Corp member was just denied entry into the NYSC secretariat in Lagos cos of the hijab. Why will a conscious and modest Muslim following the tenets of her religion be required to totally removed her dress before allowed entry into your premises. https://t.co/iEM2fcYsPZ
10,"Tiger 虎 of the Most High, PhD (Affidavit)",,MeccaUS,EveryWhere,Tue Apr 21 05:49:27 +0000 2009,3318,1284,1627,379756,@nysc_ng has to stop sending Corpers to the north. https://t.co/6lLdCgLuws,Wed Jul 28 06:46:46 +0000 2021,0,1,en,,False,False,0,0,,[],False,,0,False,True,1627,379756,[<Photo id=1420274509546983424>],@nysc_ng has to stop sending Corpers to the north. https://t.co/6lLdCgLuws
11,Nura Mohammed Nasan,https://t.co/lvgc5ZayLg,NMnasan,"Kaduna, Nigeria",Wed Nov 02 22:22:47 +0000 2011,9387,2433,9515,91199,"@nysc_ng @50.

Osun 2015.

@nyscosunstate.
@davido
@AAdeleke_01 https://t.co/dohb6ZIFuR",Tue May 09 11:35:41 +0000 2023,0,1,tr,37,False,False,0,0,,[],False,37,0,False,True,9515,91199,"[<Photo id=1655899309840236545>, <Photo id=1655899318434267136>, <Photo id=1655899329083613186>]","@nysc_ng @50.

Osun 2015.

@nyscosunstate.
@davido
@AAdeleke_01 https://t.co/dohb6ZIFuR"
12,ASHIRI BABS 🗣👤,https://t.co/VXMLOYHXwf,Babs_ashiri,"Lagos,Nigeria",Thu Apr 05 13:39:12 +0000 2012,2768,3992,243,4666,@nysc_ng ANNOUNCES DATE FOR COMMENCEMENT OF BATCH 'A' ONLINE REGISTRATION https://t.co/pdRqKoVXoa,Wed Feb 17 18:01:05 +0000 2021,0,3,en,,False,False,0,0,,[],False,,0,False,True,243,4666,[<Photo id=1362099755061567498>],@nysc_ng ANNOUNCES DATE FOR COMMENCEMENT OF BATCH 'A' ONLINE REGISTRATION https://t.co/pdRqKoVXoa
13,Career Hive,https://t.co/6KMNcOaQbm,Career_Hive,Canada,Thu Apr 12 20:49:33 +0000 2018,1877,22,1098,3267,"@nysc_ng After Nysc, what is your plan? Do you want to go for a scholarship abroad? How prepared are you for your scholarship essay? Let Career Hive help you ! Send us A DM and we will be at your services https://t.co/eA7VepPJCR",Fri Apr 17 18:12:54 +0000 2020,0,0,en,,False,False,0,0,,[],False,,0,False,True,1098,3267,[<Photo id=1251212039265095690>],"@nysc_ng After Nysc, what is your plan? Do you want to go for a scholarship abroad? How prepared are you for your scholarship essay? Let Career Hive help you ! Send us A DM and we will be at your services https://t.co/eA7VepPJCR"
14,Onu'kwube,,RaymondNkannebe,"Lagos, Nigeria",Sun Jun 12 11:40:31 +0000 2011,1382,901,1085,23630,"@nysc_ng, in the wake of the reasons given by the APC for disqualifying Obaseki from the scheduled Edo polls, how do I go about resolving the same issue on my discharge certificate to avoid being a victim of Party hawks when I contest for the governor of Anambra State?

Thank you https://t.co/Eq2kUHzdFQ",Fri Jun 12 22:24:40 +0000 2020,0,0,en,,False,False,0,1,"<Place id=""01ed1f9a43bfb9bd"" name=""Victoria Island"">",[],False,,0,False,True,1085,23630,[<Photo id=1271569109755494405>],"@nysc_ng, in the wake of the reasons given by the APC for disqualifying Obaseki from the scheduled Edo polls, how do I go about resolving the same issue on my discharge certificate to avoid being a victim of Party hawks when I contest for the governor of Anambra State?

Thank you https://t.co/Eq2kUHzdFQ"
15,charlie_dotcom,,njokukingcharl1,"Federal Capital Territory, Nig",Tue Mar 08 01:39:56 +0000 2022,223,523,6,245,@nysc_ng Wema bank give us Lagos and Ogun state corpers our arrears please,Wed Jun 11 10:40:11 +0000 2025,1,2,en,477,False,False,0,1,,[],,477,1,False,False,6,245,[],@nysc_ng Wema bank give us Lagos and Ogun state corpers our arrears please
16,Abdullahi Junaidu,,A__Junaidu,,Wed Nov 11 16:47:41 +0000 2020,1646,1730,924,4147,"@nysc_ng Youths Service And Innocent Nigerian Students

-Abdullahi Junaidu 

It's obvious and clear how Nigerian public university system suffered and still suffering in the hand of some unpatriotic and incompetent leaders who have zero concern over the plight of the masses
1/+ https://t.co/QVZSCMw4cS",Sun Jun 18 15:48:39 +0000 2023,1,1,en,66,False,False,0,1,,[],False,66,1,False,False,924,4147,[<Photo id=1670458508720963586>],"@nysc_ng Youths Service And Innocent Nigerian Students

-Abdullahi Junaidu 

It's obvious and clear how Nigerian public university system suffered and still suffering in the hand of some unpatriotic and incompetent leaders who have zero concern over the plight of the masses
1/+ https://t.co/QVZSCMw4cS"
