Tweet_count,Username,Profile URL,Display Name,User Location,Date Created,Followers,Following,No of Media Posted,No of Tweets Posted,Text,Created At,Retweets,Likes,Tweets Language,Tweet view count,Blue Verified,Verified,Quote count,Reply count,Place tweet was created,Hashtags,Sensitive,View Count,Retweet Count,Verified,Can receive DM,No of media posted,Total count of tweet,Media,Full tweet
1,Intermittent,,fluc_tuate,Nigeria,Tue Jul 28 09:47:07 +0000 2020,1174,1018,7,9958,"@officialnyscng Is very poorly managed. 
1. I don't see my call up number when others saw theirs. They said I will go with stream 2. 
2. I checked twice still on the 16th and on the 20th. I still didn't see call up number. Same stream 2 gist.
3. Now I see that I've been posted. https://t.co/DJPO920x2I",Wed Apr 23 10:41:49 +0000 2025,0,0,en,36,False,False,0,1,,[],False,36,0,False,True,7,9958,"[{'display_url': 'pic.x.com/DJPO920x2I', 'expanded_url': 'https://x.com/fluc_tuate/status/1914993105587036373/photo/1', 'id_str': '1914993102583906304', 'indices': [279, 302], 'media_key': '3_1914993102583906304', 'media_url_https': 'https://pbs.twimg.com/media/GpNsFKrWQAAjQ8C.jpg', 'type': 'photo', 'url': 'https://t.co/DJPO920x2I', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 354, 'w': 720, 'resize': 'fit'}, 'medium': {'h': 354, 'w': 720, 'resize': 'fit'}, 'small': {'h': 334, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 354, 'width': 720, 'focus_rects': [{'x': 62, 'y': 0, 'w': 632, 'h': 354}, {'x': 201, 'y': 0, 'w': 354, 'h': 354}, {'x': 223, 'y': 0, 'w': 311, 'h': 354}, {'x': 290, 'y': 0, 'w': 177, 'h': 354}, {'x': 0, 'y': 0, 'w': 720, 'h': 354}]}, 'media_results': {'result': {'media_key': '3_1914993102583906304'}}}]","@officialnyscng Is very poorly managed. 
1. I don't see my call up number when others saw theirs. They said I will go with stream 2. 
2. I checked twice still on the 16th and on the 20th. I still didn't see call up number. Same stream 2 gist.
3. Now I see that I've been posted. https://t.co/DJPO920x2I"
2,Jamal Hostetler,https://t.co/ZbX8Cfjwy0,Hoste5450,,Sat Mar 15 16:46:06 +0000 2025,2,28,2,32,@officialnyscng @nigeriantribune @PoliceNG @inecnigeria @nysc_anambra @OyoCorper @nidcom_gov @TheNationNews @FMINONigeria @NafdacAgency @NYSC_kwarastate Lagos Corpers are yet to receive April Allawee oo,Mon May 05 10:34:22 +0000 2025,0,3,en,428,False,False,0,2,,[],,428,0,False,False,2,32,,@officialnyscng @nigeriantribune @PoliceNG @inecnigeria @nysc_anambra @OyoCorper @nidcom_gov @TheNationNews @FMINONigeria @NafdacAgency @NYSC_kwarastate Lagos Corpers are yet to receive April Allawee oo
3,Lukman,https://t.co/1H8d5UtoEt,prince_tiwaa,Your House,Fri Sep 20 06:16:54 +0000 2019,1340,1370,108,9481,@officialnyscng do your worst 👍🏽 https://t.co/ILV2GeURVv,Tue Apr 08 16:47:23 +0000 2025,0,0,en,7,False,False,0,0,,[],False,7,0,False,False,108,9481,"[{'display_url': 'pic.x.com/ILV2GeURVv', 'expanded_url': 'https://x.com/prince_tiwaa/status/1909649281855741968/photo/1', 'id_str': '1909649274998026240', 'indices': [33, 56], 'media_key': '3_1909649274998026240', 'media_url_https': 'https://pbs.twimg.com/media/GoBv5dnW8AAL1Ca.jpg', 'type': 'photo', 'url': 'https://t.co/ILV2GeURVv', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1280, 'w': 712, 'resize': 'fit'}, 'medium': {'h': 1200, 'w': 668, 'resize': 'fit'}, 'small': {'h': 680, 'w': 378, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1280, 'width': 712, 'focus_rects': [{'x': 0, 'y': 0, 'w': 712, 'h': 399}, {'x': 0, 'y': 0, 'w': 712, 'h': 712}, {'x': 0, 'y': 0, 'w': 712, 'h': 812}, {'x': 72, 'y': 0, 'w': 640, 'h': 1280}, {'x': 0, 'y': 0, 'w': 712, 'h': 1280}]}, 'media_results': {'result': {'media_key': '3_1909649274998026240'}}}]",@officialnyscng do your worst 👍🏽 https://t.co/ILV2GeURVv
4,👑 KYПG MӨЯGΛПΛ 🗡 TARGARYEN,,kevynmorgan,Darkhold,Sat Aug 20 17:42:09 +0000 2011,1027,885,529,9562,@officialnyscng good luck mailing NYSC for help lmao https://t.co/u4yXlIr8a4,Wed Apr 09 12:36:31 +0000 2025,0,0,en,267,False,False,0,0,,[],False,267,0,False,True,529,9562,"[{'display_url': 'pic.x.com/u4yXlIr8a4', 'expanded_url': 'https://x.com/kevynmorgan/status/1909948539586695447/photo/1', 'id_str': '1909948530958929920', 'indices': [53, 76], 'media_key': '3_1909948530958929920', 'media_url_https': 'https://pbs.twimg.com/media/GoGAEc8WEAAeapI.jpg', 'type': 'photo', 'url': 'https://t.co/u4yXlIr8a4', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': [{'x': 166, 'y': 7, 'h': 76, 'w': 76}]}, 'medium': {'faces': [{'x': 166, 'y': 7, 'h': 76, 'w': 76}]}, 'small': {'faces': [{'x': 99, 'y': 4, 'h': 45, 'w': 45}]}, 'orig': {'faces': [{'x': 166, 'y': 7, 'h': 76, 'w': 76}]}}, 'sizes': {'large': {'h': 1138, 'w': 1080, 'resize': 'fit'}, 'medium': {'h': 1138, 'w': 1080, 'resize': 'fit'}, 'small': {'h': 680, 'w': 645, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1138, 'width': 1080, 'focus_rects': [{'x': 0, 'y': 124, 'w': 1080, 'h': 605}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1080}, {'x': 0, 'y': 0, 'w': 998, 'h': 1138}, {'x': 199, 'y': 0, 'w': 569, 'h': 1138}, {'x': 0, 'y': 0, 'w': 1080, 'h': 1138}]}, 'media_results': {'result': {'media_key': '3_1909948530958929920'}}}]",@officialnyscng good luck mailing NYSC for help lmao https://t.co/u4yXlIr8a4
5,Kingly 👑,,AkparawaKingsly,Nigeria,Fri Sep 27 19:53:46 +0000 2013,464,425,481,16758,@officialnyscng Please all PCMs should ensure their names and date of birth on their NIN and BVN are the same o. If not 77k no go enter that account o,Tue Apr 15 19:38:05 +0000 2025,0,2,en,2481,False,False,0,5,,[],,2481,0,False,True,481,16758,,@officialnyscng Please all PCMs should ensure their names and date of birth on their NIN and BVN are the same o. If not 77k no go enter that account o
6,Young_Dy,,Dy_AFCGooner,,Sat May 29 16:39:15 +0000 2021,1256,826,307,7470,"@officialnyscng What's going on ? Can't use my biometric app, it's saying Authentication failed. https://t.co/CLtJUSu92L",Mon Apr 07 09:15:49 +0000 2025,0,1,en,47,False,False,0,1,,[],False,47,0,False,True,307,7470,"[{'display_url': 'pic.x.com/CLtJUSu92L', 'expanded_url': 'https://x.com/ANDREWDESTINY16/status/1909173255090380847/photo/1', 'id_str': '1909173236006277120', 'indices': [97, 120], 'media_key': '3_1909173236006277120', 'media_url_https': 'https://pbs.twimg.com/media/Gn6-8WLWUAAfXAt.jpg', 'type': 'photo', 'url': 'https://t.co/CLtJUSu92L', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1152, 'w': 2048, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1152, 'width': 2048, 'focus_rects': [{'x': 0, 'y': 0, 'w': 2048, 'h': 1147}, {'x': 192, 'y': 0, 'w': 1152, 'h': 1152}, {'x': 263, 'y': 0, 'w': 1011, 'h': 1152}, {'x': 480, 'y': 0, 'w': 576, 'h': 1152}, {'x': 0, 'y': 0, 'w': 2048, 'h': 1152}]}, 'media_results': {'result': {'media_key': '3_1909173236006277120'}}}]","@officialnyscng What's going on ? Can't use my biometric app, it's saying Authentication failed. https://t.co/CLtJUSu92L"
7,RASTANJAN🥂👁️👁️🐐,https://t.co/6Eiiy8CuWv,SRastanjan,Nasarawa state ,Mon May 24 07:27:39 +0000 2021,92,1139,30,2592,"@officialnyscng we really appreciate the 77k,we told u after the 77k payment we will talk about our arrears....@FinMinNigeria pay us our arrears abeg......@nysc360 @nysc_ng hunger wan kill us....🤕🤕🤕",Fri Mar 28 22:31:32 +0000 2025,1,4,en,1143,False,False,0,0,,[],,1143,1,False,True,30,2592,,"@officialnyscng we really appreciate the 77k,we told u after the 77k payment we will talk about our arrears....@FinMinNigeria pay us our arrears abeg......@nysc360 @nysc_ng hunger wan kill us....🤕🤕🤕"
8,Introvert General,,GYBABA,Land of D'Naira,Sun May 10 15:00:01 +0000 2020,606,741,399,7440,@officialnyscng Pay the füćking arrears! 😤,Sat Apr 19 11:58:40 +0000 2025,0,3,tl,561,False,False,0,0,,[],,561,0,False,True,399,7440,,@officialnyscng Pay the füćking arrears! 😤
9,Young_Dy,,Dy_AFCGooner,,Sat May 29 16:39:15 +0000 2021,1256,826,307,7470,"@officialnyscng @TheNationNews @MobilePunch @FMINONigeria @channelstv @OyoCorper @UNICEF_Nigeria @nidcom_gov @inecnigeria @NafdacAgency @OfficialNUC Abeg I need help o @officialnyscng 
My Biometric App isn't working
Help me out abeg https://t.co/WiQCoDDxWV",Mon Apr 07 09:27:44 +0000 2025,0,1,en,920,False,False,0,2,,[],False,920,0,False,True,307,7470,"[{'display_url': 'pic.x.com/WiQCoDDxWV', 'expanded_url': 'https://x.com/ANDREWDESTINY16/status/1909176255867388142/photo/1', 'id_str': '1909176233348190208', 'indices': [233, 256], 'media_key': '3_1909176233348190208', 'media_url_https': 'https://pbs.twimg.com/media/Gn7Bq0JWUAAsrDO.jpg', 'type': 'photo', 'url': 'https://t.co/WiQCoDDxWV', 'ext_media_availability': {'status': 'Available'}, 'features': {'large': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'sizes': {'large': {'h': 1152, 'w': 2048, 'resize': 'fit'}, 'medium': {'h': 675, 'w': 1200, 'resize': 'fit'}, 'small': {'h': 383, 'w': 680, 'resize': 'fit'}, 'thumb': {'h': 150, 'w': 150, 'resize': 'crop'}}, 'original_info': {'height': 1152, 'width': 2048, 'focus_rects': [{'x': 0, 'y': 0, 'w': 2048, 'h': 1147}, {'x': 192, 'y': 0, 'w': 1152, 'h': 1152}, {'x': 263, 'y': 0, 'w': 1011, 'h': 1152}, {'x': 480, 'y': 0, 'w': 576, 'h': 1152}, {'x': 0, 'y': 0, 'w': 2048, 'h': 1152}]}, 'media_results': {'result': {'media_key': '3_1909176233348190208'}}}]","@officialnyscng @TheNationNews @MobilePunch @FMINONigeria @channelstv @OyoCorper @UNICEF_Nigeria @nidcom_gov @inecnigeria @NafdacAgency @OfficialNUC Abeg I need help o @officialnyscng 
My Biometric App isn't working
Help me out abeg https://t.co/WiQCoDDxWV"
10,Mimiwhite,,mimiwhite002,,Mon Feb 27 07:28:35 +0000 2023,18,351,6,143,"@officialnyscng Leave dis story, Pay us our allowee.",Sun May 04 16:31:46 +0000 2025,0,0,en,288,False,False,0,0,,[],,288,0,False,True,6,143,,"@officialnyscng Leave dis story, Pay us our allowee."
